Jahr_von;Zeit_von;Waermepumpe[in kWh];Elektroauto[Tagesnormiert];ELKW[Tagesnormiert]
05.01.2020;15:00:00;0,139179637;0,010271101;0
05.01.2020;15:15:00;0,138816411;0,010100414;0
05.01.2020;15:30:00;0,137861396;0,010100414;0
05.01.2020;15:45:00;0,137909714;0,010089402;0
05.01.2020;16:00:00;0,13916389;0,010227053;0
05.01.2020;16:15:00;0,139839719;0,010564758;0
05.01.2020;16:30:00;0,141227732;0,011029101;0
05.01.2020;16:45:00;0,14150821;0,011538309;0
05.01.2020;17:00:00;0,141560638;0,011931832;0,016666667
05.01.2020;17:15:00;0,142173573;0,012836004;0,016666667
05.01.2020;17:30:00;0,142087685;0,013694031;0,016666667
05.01.2020;17:45:00;0,142159738;0,01414828;0,016666667
05.01.2020;18:00:00;0,143494351;0,015026496;0,016666667
05.01.2020;18:15:00;0,144936969;0,01541816;0,016666667
05.01.2020;18:30:00;0,146657046;0,01650432;0,016666667
05.01.2020;18:45:00;0,149126154;0,016981931;0,016666667
05.01.2020;19:00:00;0,150549592;0,017386757;0,016666667
05.01.2020;19:15:00;0,152156901;0,017588646;0,016666667
05.01.2020;19:30:00;0,153758527;0,017496878;0,016666667
